Código da IES,Sigla da IES,Nome da IES,Categoria Administrativa,Organização Acadêmica,Situaçao da IES,Sinalização da IES,Código do Curso,Nome do Curso,Grau,Modalidade,Situação do Curso,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização - Turno Integral,Quantitativo de Vagas - Integral,Integralização - Turno Matutino,Quantitativo de Vagas - Matutino,Integralização - Turno Vespertino,Quantitativo de Vagas - Vespertino,Integralização - Turno Noturno,Quantitativo de Vagas - Noturno,Sinalização do Curso,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF,Início Funcionamento,Data Ato de Criação,Valor CC,Ano CC,CPC Faixa,CPC Contínuo,CPC Ano, Valor IDD,IDD Ano,Valor ENADE,ENADE Ano,Código Rótulo CINE,Rótulo CINE,Código Área Detalhada CINE,Área Detalhada CINE,Código Área Específica CINE,Área Específica CINE,Código Área Geral CINE , Área Geral CINE 
621,CESMAC,CENTRO UNIVERSITÁRIO CESMAC,Privada sem fins lucrativos,Centro Universitário,Ativa,,1184325,MEDICINA,Bacharelado,Educação Presencial,Em atividade,145,7400,Semestral,12.00 Semestres,145,,,,,,,,657989,CAMPUS I - Complexo Educacional Professor Eduardo Almeida,Rua Cônego Machado,918,CAMPUS I - Complexo Educacional Professor Eduardo Almeida,Farol,000000002704302,Maceió,AL,13/03/2014,2014-03-14,4,2013,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
24,UESC,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,Pública Estadual,Universidade,Ativa,,49910,MEDICINA,Bacharelado,Educação Presencial,Em atividade,42,9300,Anual,6.0 Anos,42,,,,,,,,688375,CAMPUS  - ILHÉUS - SALOBRINHO,KM 16 DA RODOVIA ILHÉUS ITABUNA,S/N,,Salobrinho,000000002913606,Ilhéus,BA,29/06/2001,2000-12-21,,,4,354,2016,5,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,Pública Federal,Universidade,Ativa,,1257562,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,8050,Semestral,12.0 Semestres,100,,,,,,,,1062815,CENTRO DE CIÊNCIAS SOCIAIS, SAÚDE E TECNOLOGIA,Avenida Universidade,s/n,CENTRO DE CIÊNCIAS SOCIAIS, SAÚDE E TECNOLOGIA,Residencial Dom Afonso Felipe Gregori,000000002105302,Imperatriz,MA,01/03/2014,2013-12-12,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
1336,FAG,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,Privada sem fins lucrativos,Centro Universitário,Ativa,,108882,MEDICINA,Bacharelado,Educação Presencial,Em atividade,162,8000,Semestral,12.0 Semestres,162,,,,,,,,658414,CAMPUS  - CASCAVEL - LOTEAMENTO FAG,Avenida das Torres,500,,Loteamento FAG,000000004104808,Cascavel,PR,03/03/2008,2008-02-06,5,2018,3,292,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
316,UNINOVE,UNIVERSIDADE NOVE DE JULHO,Privada sem fins lucrativos,Universidade,Ativa,,1397772,MEDICINA,Bacharelado,Educação Presencial,Em atividade,200,8078,Semestral,12.0 Semestres,200,,,,,,,,1081809,CAMPUS GUARULHOS,Rua Harry Simonsen,21,,Vila das Palmeiras,000000003518800,Guarulhos,SP,14/08/2017,2017-08-02,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
3194,FAMINAS-BH,FACULDADE DE MINAS BH,Privada com fins lucrativos,Faculdade ,Ativa,,1029204,MEDICINA,Bacharelado,Educação Presencial,Em atividade,180,7483,Semestral,12.0 Semestres,120,,,,,,,,659414,FAMINAS - BH,Avenida Cristiano Machado,12001,- de 11001 a 12999 - lado ímpar,Vila Cloris,000000003106200,Belo Horizonte,MG,06/08/2012,2012-06-06,5,2017,,,,,,0,2013,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
1244,MULTIVIX VITÓRIA,Faculdade Brasileira Multivix Vitória,Privada com fins lucrativos,Faculdade ,Ativa,,86356,MEDICINA,Bacharelado,Educação Presencial,Em atividade,128,8475,Semestral,12.00 Semestres,80,,,,,,,,1086421,Vitória,Rua José Alves,135,Vitória,Goiabeiras,000000003205309,Vitória,ES,15/08/2005,2005-06-27,4,2018,4,314,2016,4,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
3984,UNIVASF,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,Pública Federal,Universidade,Ativa,,1202588,MEDICINA,Bacharelado,Educação Presencial,Em atividade,40,7520,Semestral,12.00 Semestres,40,,,,,,,,1060670,CAMPUS PAULO AFONSO,Rua da Aurora,s/n,Quadra 27, lote 3,Alves de Souza,000000002924009,Paulo Afonso,BA,15/09/2014,2014-05-13,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
32,UNCISAL,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,Pública Estadual,Universidade,Ativa,,2348,MEDICINA,Bacharelado,Educação Presencial,Em atividade,50,8896,Anual,6.00 Anos,50,,,,,,,,657691,CAMPUS  - MACEIÓ - TRAPICHE DA BARRA,Rua Jorge de Lima,113,,Trapiche da Barra,000000002704302,Maceió,AL,16/03/1970,1970-03-16,,,3,204,2016,2,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
665,UNITAU,UNIVERSIDADE DE TAUBATÉ,Pública Municipal,Universidade,Ativa,,15343,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,9131,Semestral,12.0 Semestres,120,,,,,,,,2534,Campus Bom Conselho,Praça Dr. Marcelino Monteiro,63,,Centro,000000003554102,Taubaté,SP,30/01/1967,1967-01-31,,,3,265,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
1042,UP,UNIVERSIDADE POSITIVO,Privada com fins lucrativos,Universidade,Ativa,,59414,MEDICINA,Bacharelado,Educação Presencial,Em atividade,169,8180,Anual,6.0 Anos,169,,,,,,,,1003235,Universidade Positivo - Campus SEDE,Rua Professor Pedro Viriato Parigot de Souza,5.300,Universidade Positivo - Campus SEDE,Campo Comprido,000000004106902,Curitiba,PR,17/02/2003,2002-12-16,5,2011,4,327,2016,4,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
2368,,FACULDADE SÃO LEOPOLDO MANDIC,Privada com fins lucrativos,Faculdade ,Ativa,,1184047,MEDICINA,Bacharelado,Educação Presencial,Em atividade,250,10868,Semestral,12.00 Semestres,200,,,,,,,,1006046,Unidade SEDE,Rua Abolição,1827,,Swift,000000003509502,Campinas,SP,21/03/2013,2013-03-21,5,2018,,,,,,0,2013,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,Pública Estadual,Universidade,Ativa,,2392,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,8640,Anual,6.0 Anos,100,,,,,,,,1749,Campus II - CCBS,Avenida Almirante Barroso,2623,,Bairro do  Marco,000000001501402,Belém,PA,10/04/1970,1971-07-29,,,2,189,2010,,,3,2010,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
40,UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,Pública Estadual,Universidade,Ativa,,1187646,MEDICINA,Bacharelado,Educação Presencial,Em atividade,60,9260,Semestral,12.0 Semestres,60,12.0 Semestres,0,12.0 semestres,0,,,,1046505,CAMPUS I,Rua Silveira Martins,2555,,Cabula,000000002927408,Salvador,BA,18/04/2012,,,,,,,,,0,2013,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
1046,UNILAGO,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,Privada sem fins lucrativos,Faculdade ,Ativa,,5000980,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,9820,Semestral,12.00 Semestres,100,,,,,,,,658218,UNIÃO DAS FACULDADES DOS GRANDES LAGOS - UNILAGO,Rua Eduardo Nielsen,960,,Jardim Aeroporto,000000003549805,São José do Rio Preto,SP,20/08/2012,2012-06-06,4,2016,4,330,2016,4,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
2843,FCMS/JF,FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA,Privada com fins lucrativos,Faculdade ,Ativa,,74594,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,7960,Semestral,12.00 Semestres,120,,,,,,,,696949,Unidade SEDE,Alameda Salvaterra,200,,Salvaterra,000000003136702,Juiz de Fora,MG,03/11/2004,2004-10-04,4,2010,4,344,2016,4,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
824,UNICERRADO,CENTRO UNIVERSITÁRIO DE GOIATUBA,Pública Municipal,Centro Universitário,Ativa,,1445016,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,8840,Semestral,12.0 Semestres,120,,,,,,,,1041100,Unidade SEDE,Rod Go 320,s/n,Km 01,Jardim Santa Paula,000000005209101,Goiatuba,GO,06/08/2018,2018-02-08,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
307,FAME,FACULDADE DE MEDICINA DE BARBACENA,Privada sem fins lucrativos,Faculdade ,Ativa,,7105,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,7225,Semestral,12.0 Semestres,120,,,,,,,,657831,Unidade SEDE,Praça Presidente Antônio Carlos,08,,São Sebastião,000000003105608,Barbacena,MG,27/04/1971,1971-04-27,4,2017,3,257,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
4846,VÉRTICE,FACULDADE VÉRTICE,Privada com fins lucrativos,Faculdade ,Ativa,,1188900,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,10600,Semestral,12.00 Semestres,120,,,,,,,,659949,CAMPUS  - MATIPÓ - RETIRO,Rua Bernardo Torres,180,,Retiro,000000003140902,Matipó,MG,03/02/2020,2019-09-27,3,2013,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
671,UNIDERP,UNIVERSIDADE ANHANGUERA,Privada com fins lucrativos,Universidade,Ativa,,39415,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,7960,Semestral,12.0 Semestres,120,,,,,,,,706710,CAMPO GRANDE/MS - MATRIZ,Rua Ceará,333,,Miguel Couto,000000005002704,Campo Grande,MS,07/02/2000,1997-03-26,4,2017,3,249,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
521,UMC,UNIVERSIDADE DE MOGI DAS CRUZES,Privada com fins lucrativos,Universidade,Ativa,Adesão ao PROIES,10591,MEDICINA,Bacharelado,Educação Presencial,Em atividade,90,8910,Semestral,12.00 Semestres,90,,,,,,,,657950,CAMPUS CENTRO CÍVICO,Avenida Doutor Cândido Xavier de Almeida Souza,200,Campus Universitário,Centro Cívico,000000003530607,Mogi das Cruzes,SP,01/03/1968,1968-01-17,5,2018,3,246,2016,3,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
577,UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,Pública Federal,Universidade,Ativa,,1257524,MEDICINA,Bacharelado,Educação Presencial,Em atividade,60,9216,Semestral,12.00 Semestres,60,,,,,,,,1031647,CAMPUS ARAPIRACA - Sede,Avenida Manoel Severino Barbosa,S/N,,Bom Sucesso,000000002700300,Arapiraca,AL,11/01/2016,2015-05-19,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
124,UNIARA,UNIVERSIDADE DE ARARAQUARA,Privada sem fins lucrativos,Universidade,Ativa,,87941,MEDICINA,Bacharelado,Educação Presencial,Em atividade,150,8878,Semestral,12.00 Semestres,150,,,,,,,,657735,Unidade SEDE,Rua Voluntários da Pátria,1309,,Centro,000000003503208,Araraquara,SP,01/03/2006,2005-09-21,4,2018,3,214,2016,2,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,Pública Federal,Universidade,Ativa,,113504,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,8715,Semestral,12.0 Semestres,100,,,,,,,,106597,CAMPUS UNIVERSITÁRIO DE PALMAS,Avenida NS 15 ALCNO 14,s/n,,Centro,000000001721000,Palmas,TO,01/08/2007,,4,2018,3,294,2016,4,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
1362,UNIFAGOC,Centro Universitário Governador Ozanam Coelho,Privada com fins lucrativos,Centro Universitário,Ativa,Credenciamento EaD Provisório,1190621,MEDICINA,Bacharelado,Educação Presencial,Em atividade,60,8314,Semestral,12.0 Semestres,60,,,,,,,,658428,Campus Seminário - Unidade Sede,Rua Doutor Adjalme da Silva Botelho,20,,Seminário,000000003169901,Ubá,MG,04/08/2014,2014-06-11,4,2013,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
25274,UFCAT,UNIVERSIDADE FEDERAL DE CATALÃO,Pública Federal,Universidade,Ativa,,1406536,MEDICINA,Bacharelado,Educação Presencial,Em atividade,50,8000,Semestral,12.00 Semestres,50,,,,,,,,1112697,Unidade SEDE,Avenida Doutor Lamartine Pinto de Avelar,1120,,Loteamento Vila Chaud,000000005205109,Catalão,GO,13/03/2019,2017-09-04,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
1854,,CLARETIANO - CENTRO UNIVERSITÁRIO,Privada sem fins lucrativos,Centro Universitário,Ativa,,1399483,MEDICINA,Bacharelado,Educação Presencial,Em atividade,55,9060,Semestral,12.00 Semestres,55,,,,,,,,658817,Claretiano - Centro Universitário,Avenida Santo Antonio Maria Claret,1724,- de 1144/1145 a 1723/1724,Jardim Claret,000000003543907,Rio Claro,SP,19/02/2018,2017-08-02,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
23318,,FACULDADE BRASILEIRA DE CACHOEIRO,Privada com fins lucrativos,Faculdade ,Ativa,,1438629,MEDICINA,Bacharelado,Educação Presencial,Em atividade,200,8834,Semestral,12.00 Semestres,100,,,,,,,,1103017,Faculdade Brasileira de Cachoeiro,Rodovia Engenheiro Fabiano Vivácqua,2531,Faculdade Brasileira de Cachoeiro,Monte Belo,000000003201209,Cachoeiro de Itapemirim,ES,27/02/2019,2018-12-31,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
23410,UEMASUL,UNIVERSIDADE ESTADUAL DA REGIÃO TOCANTINA DO MARANHÃO,Pública Estadual,Universidade,Ativa,,1486298,MEDICINA,Bacharelado,Educação Presencial,Em atividade,80,9565,Semestral,12.0 Semestres,80,,,,,,,,1092707,Campus SEDE,Rua Godofredo Viana,1300,,Centro,000000002105302,Imperatriz,MA,Não iniciado,2019-04-24,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
308,UNIPAC,CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS,Privada sem fins lucrativos,Centro Universitário,Ativa,,65924,MEDICINA,Bacharelado,Educação Presencial,Em atividade,94,8760,Semestral,12.0 Semestres,94,,,,,,,,405,Campus VI-Juiz de Fora,Avenida Juiz de Fora,1100,,Granjas Betânia,000000003136702,Juiz de Fora,MG,04/11/2002,2002-06-04,4,2017,2,124,2016,1,2016,1,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
107,UFSJ,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,Pública Federal,Universidade,Ativa,,120983,MEDICINA,Bacharelado,Educação Presencial,Em atividade,60,7432,Semestral,12.0 Semestres,60,,,,,,,,144404,Campus Centro-Oeste,Rua Sebastião Gonçalves Coelho,400,,Chanadour,000000003122306,Divinópolis,MG,02/04/2008,2007-08-06,3,2016,3,292,2016,3,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
2571,FACREDENTOR,CENTRO UNIVERSITÁRIO REDENTOR,Privada sem fins lucrativos,Centro Universitário,Ativa,,1184432,MEDICINA,Bacharelado,Educação Presencial,Em atividade,112,10060,Semestral,12.0 Semestres,112,,,,,,,,659215,CAMPUS  - ITAPERUNA - PRESIDENTE COSTA E SILVA,BR 356,25,,Presidente Costa e Silva,000000003302205,Itaperuna,RJ,03/08/2015,2015-07-03,4,2013,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
25277,UFDPAR,UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA,Pública Federal,Universidade,Ativa,,1202553,MEDICINA,Bacharelado,Educação Presencial,Em atividade,80,8295,Semestral,12.0 Semestres,80,,,,,,,,1112700,Unidade SEDE,Avenida São Sebastião,2.819,- até 2819 - lado ímpar,Nossa Senhora de Fátima,000000002207702,Parnaíba,PI,10/09/2014,2014-05-13,3,2020,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
1573,,CENTRO UNIVERSITÁRIO ALFREDO NASSER,Privada sem fins lucrativos,Centro Universitário,Ativa,,5001294,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,8500,Semestral,12.0 Semestres,100,,,,,,,,658590,CAMPUS  - APARECIDA DE GOIÂNIA - JARDIM DAS ESMERALDA,Avenida Bela Vista,26,,Jardim das Esmeralda,000000005201405,Aparecida de Goiânia,GO,17/11/2014,2015-04-27,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,5001422,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,7200,Semestral,12.0 Semestres,100,,,,,,,,657837,CAMPUS INDIANÓPOLIS,Rua Doutor Bacelar,1212,,Mirandópolis,000000003550308,São Paulo,SP,Não iniciado,2017-11-01,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
4504,UFGD,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,Pública Federal,Universidade,Ativa,,21542,MEDICINA,Bacharelado,Educação Presencial,Em atividade,80,7305,Semestral,12.0 Semestres,80,,,,,,,,25872,UFGD - Unidade II,Rodovia Dourados - Itahum,km 12 ,,Cidade Universitária,000000005003702,Dourados,MS,08/05/2000,1999-12-21,4,2017,3,215,2016,2,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
4396,UNIFIMES,CENTRO UNIVERSITÁRIO DE MINEIROS,Pública Municipal,Centro Universitário,Ativa,,1330031,MEDICINA,Bacharelado,Educação Presencial,Em atividade,78,7673,Semestral,12.0 Semestres,60,,,,,,,,1040930,Unidade SEDE,Rua 22,S/N,Esquina com Avenida 21,Setor Aeroporto,000000005213103,Mineiros,GO,14/03/2016,2015-06-03,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
2632,UNESULBAHIA,FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA,Privada sem fins lucrativos,Faculdade ,Ativa,,1257548,MEDICINA,Bacharelado,Educação Presencial,Em atividade,37,8000,Semestral,12.00 Semestres,37,,,,,,,,659247,Unidade SEDE,Rod. Br 367, Km 14,s/n,Eunápolis/Porto Seguro,Zona Rural,000000002910727,Eunápolis,BA,02/03/2020,2020-01-20,5,2019,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
23,FEEVALE,UNIVERSIDADE FEEVALE,Privada sem fins lucrativos,Universidade,Ativa,,1399487,MEDICINA,Bacharelado,Educação Presencial,Em atividade,81,7550,Semestral,12.00 Semestres,81,,,,,,,,692544,SEDE,Rodovia Rodovia ERS-239,nº 2755,,Vila Nova,000000004313409,Novo Hamburgo,RS,12/09/2017,2017-08-02,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
2961,Estácio FAPAN,Faculdade Estácio do Pantanal,Privada com fins lucrativos,Faculdade ,Ativa,,1457707,MEDICINA,Bacharelado,Educação Presencial,Em atividade,50,7677,Semestral,,,,,,,12.00 Semestres,0,,1050405,FAPAN,Av Avenida São Luiz - lado par,2522,,Cidade Nova,000000005102504,Cáceres,MT,Não iniciado,,4,2020,,,,,,,,,,,,,,,,
2835,UNINASSAU,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,Privada com fins lucrativos,Centro Universitário,Ativa,,1108786,MEDICINA,Bacharelado,Educação Presencial,Em atividade,268,7280,Semestral,12.0 Semestres,268,,,,,,,Visita Obrigatória no Próximo Ato,659319,UNINASSAU - Sede,Rua Guilherme Pinto,114,UNINASSAU - Sede,Graças,000000002611606,Recife,PE,06/08/2012,2012-06-06,5,2018,,,,,,0,2013,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
22197,,FACULDADE ATENAS PASSOS,Privada com fins lucrativos,Faculdade ,Ativa,,1408507,MEDICINA,Bacharelado,Educação Presencial,Em atividade,118,9062,Semestral,12.00 Semestres,118,,,,,,,,1081361,Campus Principal,Oscar Cândido Monteiro,1000,,Jardim Colégio de Passos,000000003147907,Passos,MG,16/04/2018,2018-04-11,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
15121,UFFS,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,Pública Federal,Universidade,Ativa,,5001101,MEDICINA,Bacharelado,Educação Presencial,Em atividade,62,8715,Semestral,12.00 Semestres,62,,,,,,,,1084444,Campus Passo Fundo,Rua Capitão Araújo,20,Campus Passo Fundo,Centro,000000004314100,Passo Fundo,RS,16/09/2013,2013-07-24,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
634,UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,Pública Federal,Universidade,Ativa,,14975,MEDICINA,Bacharelado,Educação Presencial,Em atividade,106,7785,Semestral,12.00 Semestres,106,,,,,,,,1032259,Campus da Saúde,Avenida Duque de Caxias,250,,Fragata,000000004314407,Pelotas,RS,04/04/1963,1963-04-04,3,2016,3,267,2016,3,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
330,UNIG,UNIVERSIDADE IGUAÇU,Privada sem fins lucrativos,Universidade,Ativa,,19294,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,8400,Semestral,12.0 Semestres,100,,,,,,,,349,Unidade Permanente de Itaperuna,BR 356 Km 2,S/N,Unidade Permanente de Itaperuna,Cidade Nova,000000003302205,Itaperuna,RJ,04/02/1997,1997-03-26,,,3,233,2016,3,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,Pública Estadual,Universidade,Ativa,,71689,MEDICINA,Bacharelado,Educação Presencial,Em atividade,30,7860,Semestral,12.0 Semestres,30,,,,,,,,2830,CESC,Praça Duque de Caxias,s/n,Centro,Morro do Alecrim,000000002103000,Caxias,MA,29/10/2003,2002-03-19,,,2,114,2016,1,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
25352,UFR,Universidade Federal de Rondonópolis,Pública Federal,Universidade,Ativa,,1261971,MEDICINA,Bacharelado,Educação Presencial,Em atividade,40,7552,Semestral,12.00 Semestres,40,,,,,,,,1114668,Unidade SEDE,Av Avenida dos Estudantes,5055,,Cidade Universitária,000000005107602,Rondonópolis,MT,04/04/2014,2013-12-12,3,2019,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
56,UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,Pública Estadual,Universidade,Ativa,,3148,MEDICINA,Bacharelado,Educação Presencial,Em atividade,90,9854,Anual,6.0 Anos,90,,,,,,,,729,Câmpus de Botucatu / Faculdade de Medicina,Distrito de Rubião Júnior,s/nº,-,Jardim Santo Ináci,000000003507506,Botucatu,SP,22/04/1963,1962-07-22,,,4,312,2016,2,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
2111,UNINTA,CENTRO UNIVERSITÁRIO INTA,Privada sem fins lucrativos,Centro Universitário,Ativa,,1173014,MEDICINA,Bacharelado,Educação Presencial,Em atividade,197,8265,Semestral,12.00 Semestres,197,,,,,,,,658982,SEDE,Rua Coronel Antônio Rodrigues Magalhães,700,,Dom Expedito,000000002312908,Sobral,CE,17/03/2014,2014-01-30,5,2018,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
576,UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,Pública Federal,Universidade,Ativa,,5001167,MEDICINA,Bacharelado,Educação Presencial,Em atividade,100,8200,Semestral,12.00 Semestres,100,,,,,,,Visita Obrigatória no Próximo Ato,1057285,CAMPUS GOVERNADOR VALADARES - Pitágoras,Avenida Doutor Raimundo Monteiro Rezende,330,,Centro,000000003127701,Governador Valadares,MG,27/02/2012,2012-02-27,4,2018,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
3615,FPS,FACULDADE PERNAMBUCANA DE SAÚDE ,Privada sem fins lucrativos,Faculdade ,Ativa,,87537,MEDICINA,Bacharelado,Educação Presencial,Em atividade,192,8710,Semestral,12.0 Semestres,192,,,,,,,,1082268,Faculdade Pernambucana de Saúde,Avenida Marechal Mascarenhas de Morais,4861,- até 1681 - lado ímpar,Imbiribeira,000000002611606,Recife,PE,30/01/2006,2005-09-01,5,2018,3,216,2016,2,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
22202,EstácioJuazeiro,Faculdade Estácio de Juazeiro,Privada com fins lucrativos,Faculdade ,Ativa,,1399618,MEDICINA,Bacharelado,Educação Presencial,Em atividade,155,8538,Semestral,12.00 Semestres,55,,,,,,,,1089994,JUAZEIRO,Rodovia BR 407, s/n°, Lotes 10-57 e 69-100, Km 13,,,Distrito Industrial,000000002918407,Juazeiro,BA,09/04/2018,2018-03-28,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
16728,ITPAC,INSTITUTO TOCANTINENSE PRESIDENTE ANTONIO CARLOS,Privada com fins lucrativos,Faculdade ,Ativa,,5000812,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,8260,Semestral,12.00 Semestres,120,,,,,,,,1054583,Faculdade de Ciências Humanas, Econômicas e da Saúde - FAHESA,Quadra 103 Sul Avenida Juscelino Kubitschek,150,,Plano Diretor Sul,000000001721000,Palmas,TO,09/08/1999,1999-05-19,4,2019,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
